Sample	Collection	Host	Division	GenBank
21-02409-0001	2021-03-10	Human	NT_Tiwi_Islands	OM867669
O-0883	2022-02	Isolate	NSW_Murray	OP904182
S46716	2022-05-11	Mosquito	QLD_Wide_Bay_Burnett	OR965960
27003	2022-01-10	Mosquito	NSW_Riverina	PV666440
22-00391-0002	2022-01-19	Swine	NSW_Riverina	PV666441
22-00651-0005	2022-02-14	Swine	VIC_Loddon_Mallee	PV666442
22-00691-0003	2022-02-15	Swine	NSW_Murray	PV666443
22-00749-0005-05	2022-02-26	Swine	VIC_Loddon_Mallee	PV666444
22-00766-0002	2022-02-28	Swine	VIC_Hume	PV666445
22-00769-0012	2022-02-22	Swine	NSW_Murray	PV666446
22-00799-0003-03	2022-02-27	Swine	SA_Murray_Riverlands	PV666447
22-00819-0001	2022-02-26	Swine	NSW_Murray	PV666448
22-00820-0015	2022-03-01	Swine	NSW_Northern_Tablelands	PV666449
22-00824-0007	2021-04-07	Swine	QLD_Northern	PV666450
22-00854-0009	2022-03-02	Swine	VIC_Hume	PV666451
22-00855-0006	2022-03-02	Swine	VIC_Loddon_Mallee	PV666452
22-00864-0013	2022-03-03	Swine	VIC_Loddon_Mallee	PV666453
22-00867-0012	2022-02-27	Swine	NSW_Central_West	PV666454
22-00874-0001	2022-01-20	Swine	NSW_Murray	PV666455
22-00920-0004	2022-03-04	Swine	VIC_Hume	PV666456
22-00924-0002	2022-03-06	Swine	VIC_Grampians	PV666457
22-00993-0006	2022-03-05	Swine	NSW_Riverina	PV666458
22-00994-0006	2022-03-05	Swine	NSW_Riverina	PV666459
22-01027-0026	2022-03-04	Mosquito	VIC_Loddon_Mallee	PV666460
22-01072-0008	2022-03-16	Swine	VIC_Loddon_Mallee	PV666461
22-01079-0002	2022-03-16	Swine	VIC_Hume	PV666462
22-01090-0004	2022-03-10	Swine	NSW_Murray	PV666463
22-01093-0004	2022-03-17	Swine	VIC_Hume	PV666464
22-01094-0005	2022-03-17	Swine	VIC_Loddon_Mallee	PV666465
22-01094-0009	2022-03-17	Swine	VIC_Loddon_Mallee	PV666466
22-01121-0002	2022-03-16	Swine	VIC_Loddon_Mallee	PV666467
22-01152-0002-02	2022-03-17	Swine	SA_Murray_Riverlands	PV666468
22-01156-0003	2022-03-21	Swine	VIC_Loddon_Mallee	PV666469
22-01157-0006	2022-03-12	Swine	QLD_Darling_Downs	PV666470
22-01158-0002	2022-03-17	Swine	VIC_Loddon_Mallee	PV666471
22-01159-0001	2022-03-16	Swine	VIC_Loddon_Mallee	PV666472
22-01160-0001	2022-03-17	Swine	VIC_Loddon_Mallee	PV666473
22-01160-0002	2022-03-17	Swine	VIC_Loddon_Mallee	PV666474
22-01163-0005-01	2022-03-18	Swine	SA_Murray_Riverlands	PV666475
22-01168-0002	2022-03-22	Swine	VIC_Loddon_Mallee	PV666476
22-01172-0003-02	2022-03-19	Swine	SA_Murray_Riverlands	PV666477
22-01213-0004	2022-03-25	Swine	VIC_Hume	PV666478
22-01214-0004	2022-03-25	Swine	VIC_Loddon_Mallee	PV666479
22-01214-0006	2022-03-25	Swine	VIC_Loddon_Mallee	PV666480
22-01225-0005-02	2022-03-22	Swine	SA_Mid_North	PV666481
22-01231-0001	2022-03-24	Swine	VIC_Gippsland	PV666482
22-01250-0001	2022-03-23	Swine	NSW_Murray	PV666483
22-01261-0036	2022-02-15	Mosquito	VIC_Loddon_Mallee	PV666484
22-01262-0009	2022-02-03	Mosquito	VIC_Hume	PV666485
22-01262-0053	2022-02-01	Mosquito	VIC_Hume	PV666486
22-01285-0006-03	2022-04-24	Swine	SA_Mid_North	PV666487
22-01301-0002	2022-03-31	Swine	VIC_Gippsland	PV666488
22-01301-0004	2022-03-31	Swine	VIC_Gippsland	PV666489
22-01301-0005	2022-03-31	Swine	VIC_Gippsland	PV666490
22-01307-0021	2022-01-25	Mosquito	VIC_Loddon_Mallee	PV666491
22-01335-0027	2022-01-11	Mosquito	VIC_Loddon_Mallee	PV666492
22-01379-0003	2022-04-07	Swine	VIC_Loddon_Mallee	PV666493
22-01379-0007	2022-04-07	Swine	VIC_Loddon_Mallee	PV666494
22-01405-0007-01	2022-04-01	Swine	SA_Barossa	PV666495
22-01462-0001	2022-04-13	Swine	VIC_Gippsland	PV666496
22-01462-0002	2022-04-13	Swine	VIC_Gippsland	PV666497
22-01506-0001	2022-04-04	Swine	VIC_Loddon_Mallee	PV666498
22-01506-0003	2022-04-04	Swine	VIC_Loddon_Mallee	PV666499
22-01587-0005	2022-04-26	Swine	VIC_Hume	PV666500
22-01587-0006	2022-04-26	Swine	VIC_Hume	PV666501
22-01591-0016	2022-04-08	Swine	QLD_Darling_Downs	PV666502
22-01595-0003	2022-04-06	Swine	QLD_Wide_Bay_Burnett	PV666503
22-01596-0002	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666504
22-01597-0003	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666505
22-01936-0004	2022-04-29	Swine	SA_Murray_Riverlands	PV666506
22-02018-0010	2022-04-26	Swine	QLD_Darling_Downs	PV666507
22-02113-0001	2022-05-10	Feral_pig	NT_Darwin	PV666508
22-02438-0016	2022-05-24	Swine	SA_Barossa	PV666509
22-02644-0001	2022-04-25	Feral_pig	NT_Tiwi_Islands	PV666510
22-02644-0002	2022-05-02	Feral_pig	NT_West_Arnhem	PV666511
22-02644-0003	2022-05-02	Feral_pig	NT_West_Arnhem	PV666512
22-02644-0006	2022-05-02	Feral_pig	NT_West_Arnhem	PV666513
22-02644-0007	2022-05-03	Feral_pig	NT_Darwin	PV666514
22-02644-0008	2022-05-03	Feral_pig	NT_Darwin	PV666515
22-02644-0009	2022-05-04	Feral_pig	NT_Darwin	PV666516
22-02644-0010	2022-05-04	Feral_pig	NT_Darwin	PV666517
22-02644-0011	2022-05-05	Feral_pig	NT_Darwin	PV666518
22-02644-0012	2022-05-05	Feral_pig	NT_Darwin	PV666519
22-02644-0013	2022-05-05	Feral_pig	NT_Darwin	PV666520
22-02644-0014	2022-05-06	Feral_pig	NT_Darwin	PV666521
22-02644-0015	2022-05-06	Feral_pig	NT_Darwin	PV666522
22-02644-0016	2022-05-06	Feral_pig	NT_Darwin	PV666523
22-02644-0017	2022-05-06	Feral_pig	NT_Darwin	PV666524
22-02644-0018	2022-05-06	Feral_pig	NT_Darwin	PV666525
22-02644-0019	2022-05-07	Feral_pig	NT_Darwin	PV666526
22-04049-0001	2022-01-17	Mosquito	SA_Murray_Riverlands	PV666527
EMAI01	2022-01-23	Swine	NSW_Riverina	PV666528
EMAI02	2022-01-25	Swine	NSW_Murray	PV666529
EMAI03	2022-02-02	Swine	NSW_Murray	PV666530
EMAI04	2022-02-10	Swine	NSW_Central_West	PV666531
EMAI05	2022-02-10	Swine	NSW_Central_West	PV666532
EMAI06	2022-02-14	Swine	NSW_Murray	PV666533
EMAI07	2022-02-17	Swine	NSW_Riverina	PV666534
EMAI09	2022-02-21	Swine	NSW_Riverina	PV666535
EMAI10	2022-02-21	Swine	NSW_Riverina	PV666536
EMAI11	2022-02-26	Swine	NSW_Murray	PV666537
EMAI12	2022-02-26	Swine	NSW_Murray	PV666538
EMAI13	2022-02-21	Swine	NSW_Central_West	PV666539
EMAI14	2022-02-21	Swine	NSW_Central_West	PV666540
EMAI15	2022-02-23	Swine	QLD_Darling_Downs	PV666541
EMAI17	2022-02-28	Swine	NSW_Murray	PV666542
EMAI18	2022-02-28	Swine	NSW_Murray	PV666543
EMAI19	2022-02-27	Swine	NSW_Murray	PV666544
EMAI21	2022-03-01	Swine	NSW_Northern_Tablelands	PV666545
EMAI22	2022-03-01	Swine	NSW_Northern_Tablelands	PV666546
EMAI24	2022-03-01	Swine	NSW_Murray	PV666547
EMAI25	2022-03-02	Swine	NSW_Central_West	PV666548
EMAI26	2022-03-02	Swine	NSW_Central_West	PV666549
EMAI27	2022-03-04	Swine	NSW_Riverina	PV666550
EMAI28	2022-03-04	Swine	NSW_Riverina	PV666551
EMAI29	2022-03-04	Swine	NSW_Riverina	PV666552
EMAI30	2022-03-04	Swine	NSW_Riverina	PV666553
EMAI31	2022-03-09	Swine	NSW_Central_West	PV666554
EMAI34	2022-03-10	Swine	NSW_Murray	PV666555
EMAI36	2022-03-15	Swine	NSW_Murray	PV666556
EMAI37	2022-03-15	Swine	NSW_Murray	PV666557
EMAI38	2022-03-15	Swine	NSW_Murray	PV666558
EMAI39	2022-03-15	Swine	NSW_Central_Tablelands	PV666559
EMAI40	2022-03-15	Swine	NSW_Central_Tablelands	PV666560
EMAI41	2022-03-14	Swine	NSW_Riverina	PV666561
EMAI42	2022-03-14	Swine	NSW_Riverina	PV666562
EMAI43	2022-03-14	Swine	NSW_Murray	PV666563
EMAI44	2022-03-14	Swine	NSW_Murray	PV666564
EMAI45	2022-03-18	Swine	NSW_Riverina	PV666565
EMAI47	2022-03-18	Swine	NSW_Riverina	PV666566
EMAI48	2022-03-18	Swine	NSW_Riverina	PV666567
EMAI51	2022-03-21	Swine	NSW_Murray	PV666568
EMAI52	2022-03-21	Swine	NSW_Murray	PV666569
EMAI53	2022-03-20	Swine	NSW_Murray	PV666570
EMAI54	2022-03-20	Swine	NSW_Murray	PV666571
EMAI56	2022-03-26	Swine	NSW_Murray	PV666572
EMAI57	2022-03-26	Swine	NSW_Murray	PV666573
JEV001	2022-02-16	Human	NSW_Riverina	PV666574
P22-00698-27	2022-02-22	Swine	QLD_Darling_Downs	PV666575
P22-00902-2	2022-03-11	Swine	QLD_Wide_Bay_Burnett	PV666576
P22-00902-7	2022-03-11	Swine	QLD_Wide_Bay_Burnett	PV666577
P22-00961-41	2022-03-15	Swine	QLD_Darling_Downs	PV666578
P22-01043-12	2022-03-21	Swine	QLD_Darling_Downs	PV666579
P22-01131-3	2022-03-25	Swine	QLD_Wide_Bay_Burnett	PV666580
P22-01131-11	2022-03-25	Swine	QLD_Wide_Bay_Burnett	PV666581
P22-01131-31	2022-03-25	Swine	QLD_Wide_Bay_Burnett	PV666582
P22-01131-54	2022-03-25	Swine	QLD_Wide_Bay_Burnett	PV666583
P22-01131-57	2022-03-25	Swine	QLD_Wide_Bay_Burnett	PV666584
P22-01333-3	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666585
P22-01333-4	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666586
P22-01335-2	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666587
P22-01336-2	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666588
P22-01336-10	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666589
P22-01348-11	2022-04-08	Swine	QLD_Darling_Downs	PV666590
P22-01348-19	2022-04-08	Swine	QLD_Darling_Downs	PV666591
P22-01348-46	2022-04-08	Swine	QLD_Darling_Downs	PV666592
P22-01350-9	2022-04-08	Swine	QLD_Darling_Downs	PV666593
P22-01352-18	2022-04-08	Swine	QLD_Wide_Bay_Burnett	PV666594
P22-01590-19	2022-04-26	Swine	QLD_Darling_Downs	PV666595
P22-01590-30	2022-04-26	Swine	QLD_Darling_Downs	PV666596
P22-01629-3	2022-04-29	Swine	QLD_Wide_Bay_Burnett	PV666597
P22-01661-12	2022-04-29	Swine	QLD_Wide_Bay_Burnett	PV666598
P22-01661-20	2022-04-29	Swine	QLD_Wide_Bay_Burnett	PV666599
P22-02131-92	2022-05-30	Feral_pig	QLD_Far_North	PV666600
P22-02436-59	2022-06-28	Swine	QLD_Darling_Downs	PV666601
P22-02806-13	2022-07-18	Swine	QLD_Wide_Bay_Burnett	PV666602
VIDRL03	2022-03	Human	VIC_Unknown	PV666603
